Date,Mean_NDVI_Normal,Mean_NDVI_Mining
2019-01-01,0.36771298860695895,0.36954295003723137
2019-04-01,0.25062641776081346,0.30698094219504957
2019-07-01,0.27602305307284347,0.31744623870356214
2019-10-01,0.610186934579544,0.44044439849551326
2020-01-01,0.43005305454916753,0.38207962098875703
2020-04-01,0.31190168683268255,0.3404936253321486
2020-07-01,0.3941224806613945,0.38875384707814814
2020-10-01,0.6107593507393643,0.4572389192771441
2021-01-01,0.4389645480833331,0.35654669660844607
2021-04-01,0.35405647043446503,0.3471476949008322
2021-07-01,0.4739865198735049,0.3998530631509211
2021-10-01,0.5589405716640969,0.37737064631857953
2022-01-01,0.4713087920397318,0.3466164152436748
2022-04-01,0.4060946841033738,0.35793685436847344
2022-07-01,0.4652909504331046,0.3347847460203101
2022-10-01,0.6418077939626254,0.38793185764606714
2023-01-01,0.4485639693882033,0.33874138122191494
2023-04-01,0.4060555744860986,0.33192912022400023
2023-07-01,0.3894183581966563,0.321580456511084
2023-10-01,0.5825685994318105,0.41821952348370195
2024-01-01,0.3766524525861971,0.34403834227905367
2024-04-01,0.3261242798350208,0.3267776668232848
2024-07-01,0.4398333573614004,0.36719307285286307
2024-10-01,0.6863067787540418,0.33577782731034655
